N SIZE; LOOP 1; LOOP 2; LOOP 3; LOOP 4; LOOP 5; UNKNOWN10;
0.0;0.0;0.016;0.0;0.31;0.0
11;0.0;0.0;0.016;0.16;0.46;0.0
12;0.0;0.0;0.016;0.32;0.61;0.0
13;0.0;0.0;0.016;0.48;0.77;0.0
14;0.0;0.015;0.016;0.64;0.92;0.0
15;0.0;0.031;0.016;0.8;1.23;0.0
16;0.0;0.046;0.016;1.12;1.69;0.0
17;0.0;0.046;0.016;1.59;2.16;0.0
18;0.0;0.046;0.032;1.9;2.79;0.0
19;0.0;0.046;0.032;2.52;3.57;0.0
20;0.0;0.046;0.032;3.3;4.35;0.0
21;0.0;0.062;0.032;4.39;5.29;0.0
22;0.0;0.063;0.032;5.63;6.39;0.0
23;0.0;0.063;0.047;6.88;7.64;0.0
24;0.0;0.063;0.062;8.44;8.89;0.0
25;0.0;0.079;0.062;10.31;10.45;0.0
26;0.0;0.08;0.062;12.49;12.17;0.0
27;0.0;0.096;0.077;14.83;14.05;0.0
28;0.016;0.096;0.093;17.63;16.08;0.0
29;0.017;0.112;0.108;20.91;18.42;0.0
30;0.017;0.128;0.108;24.65;21.07;0.0
31;0.017;0.129;0.108;29.02;23.88;0.0
32;0.032;0.145;0.108;34.01;27.47;0.0
33;0.032;0.177;0.108;39.47;31.53;0.0
34;0.032;0.192;0.124;45.59;36.06;0.0
35;0.032;0.193;0.155;52.32;40.89;0.0
36;0.033;0.225;0.17;59.97;46.03;0.0
37;0.034;0.257;0.185;68.44;51.68;0.0
38;0.05;0.272;0.201;77.97;57.76;0.0
39;0.051;0.303;0.217;88.42;64.47;0.0
40;0.051;0.335;0.233;100.12;71.49;0.0
41;0.051;0.367;0.248;113.07;79.92;0.0
42;0.051;0.399;0.263;127.27;88.03;0.0
43;0.051;0.431;0.295;142.71;96.92;0.0
44;0.051;0.463;0.311;159.71;106.28;0.0
45;0.052;0.51;0.327;178.44;116.26;0.0
46;0.052;0.558;0.343;198.72;127.02;0.0
47;0.052;0.606;0.358;220.9;138.4;0.0
48;0.052;0.654;0.374;244.94;150.57;0.0
49;0.053;0.701;0.405;271.09;163.36;0.0
50;0.054;0.748;0.436;299.33;177.09;0.0
51;0.055;0.794;0.468;329.9;191.6;0.0
52;0.056;0.841;0.499;362.97;207.05;0.0
53;0.056;0.888;0.531;398.61;223.28;0.0
54;0.057;0.95;0.562;436.87;240.63;0.0
55;0.057;1.013;0.578;478.21;258.76;0.0
56;0.057;1.076;0.609;522.55;277.95;0.0
57;0.058;1.139;0.64;570.13;298.23;0.0
58;0.058;1.202;0.671;621.01;319.6;0.0
59;0.059;1.28;0.702;675.46;342.06;0.0
60;0.059;1.344;0.733;733.82;365.64;0.0
61;0.06;1.422;0.764;796.07;390.44;0.0
62;0.06;1.501;0.795;862.48;416.49;0.0
63;0.06;1.58;0.827;933.16;443.82;0.0
64;0.061;1.658;0.874;1008.39;477.23;0.0
65;0.062;1.736;0.921;1088.38;512.35;0.0
66;0.063;1.814;0.968;1173.45;549.07;0.0
67;0.063;1.893;1.014;1263.63;587.44;0.0
68;0.064;1.987;1.045;1359.45;627.57;0.0
69;0.065;2.08;1.076;1461.03;669.41;0.0
70;0.066;2.173;1.123;1568.56;713.61;0.0
71;0.067;2.283;1.154;1682.32;759.32;0.0
72;0.067;2.378;1.201;1802.67;808.63;0.0
73;0.068;2.487;1.248;1929.83;858.44;0.0
74;0.068;2.582;1.294;2063.85;910.07;0.0
75;0.069;2.691;1.341;2205.38;964.26;0.0
76;0.069;2.785;1.404;2354.48;1020.28;0.0
77;0.07;2.894;1.451;2511.42;1078.49;0.0
78;0.071;3.003;1.514;2676.51;1139.08;0.0
79;0.071;3.114;1.576;2850.31;1202.19;0.0
80;0.071;3.224;1.639;3033.01;1267.4;0.0
81;0.072;3.349;1.701;3224.84;1335.19;0.0
82;0.072;3.474;1.764;3426.35;1405.28;0.0
83;0.087;3.6;1.827;3637.85;1477.97;0.0
84;0.088;3.725;1.889;3859.73;1553.34;0.0
85;0.089;3.866;1.951;4092.18;1631.53;0.0
86;0.09;4.006;2.014;4335.71;1712.53;0.0
87;0.09;4.148;2.076;4590.78;1796.32;0.0
88;0.091;4.288;2.139;4857.78;1883.14;0.0
89;0.091;4.444;2.201;5139.71;1974.24;0.0
90;0.092;4.6;2.279;5435.79;2068.48;0.0
91;0.093;4.772;2.341;5742.46;2164.45;0.0
92;0.094;4.928;2.419;6061.66;2263.59;0.0
93;0.095;5.1;2.483;6394.9;2365.97;0.0
94;0.096;5.272;2.561;6742.61;2472.4;0.0
95;0.097;5.444;2.639;7106.31;2581.33;0.0
96;0.098;5.615;2.717;7483.66;2693.83;0.0
97;0.099;5.787;2.81;7876.82;2809.93;0.0
98;0.099;5.96;2.888;8286.44;2929.62;0.0
99;0.1;6.147;2.966;8713.0;3052.95;0.0
100;0.101;6.334;3.044;9157.43;3180.09;0.0

